system:index,country,date,NO2,SO2,CO,O3,year
gen_000069,Mozambique,2027/07/22,2.24E-05,0.000102826,0.031188222,0.109296376,2027
gen_000070,Swaziland,2021/09/13,3.93E-05,0.000110407,0.040369862,0.110263494,2021
gen_000071,Lesotho,2020/09/22,3.29E-05,7.39E-05,0.039100748,,2020
gen_000072,Mozambique,2018/11/22,2.58E-05,8.09E-05,0.037421901,0.104162255,2018
gen_000073,Botswana,2018/07/13,2.65E-05,,0.027339358,0.099684159,2018
gen_000074,Swaziland,2019/12/18,3.29E-05,0.000109938,0.02963001,0.136782008,2019
gen_000075,Mozambique,2025/05/31,3.31E-05,9.57E-05,0.036551854,0.121768521,2025
gen_000076,Lesotho,2020/09/05,3.42E-05,7.60E-05,0.031945782,0.127659592,2020
gen_000077,Lesotho,2022/07/18,2.63E-05,9.23E-05,0.032196045,0.130345932,2022
gen_000078,South Africa,2024/08/12,8.19E-05,0.000231189,0.061588188,0.144049226,2024
gen_000079,Swaziland,2021/05/07,3.95E-05,0.000127267,0.039870374,0.11411691,2021
gen_000080,Zimbabwe,2022/01/27,3.90E-05,0.000122243,0.037789389,0.133760241,2022
gen_000081,Mozambique,2022/11/16,2.18E-05,7.90E-05,0.031055165,0.132135054,2022
gen_000082,Botswana,2027/01/15,2.40E-05,9.42E-05,,,2027
gen_000083,Swaziland,2027/04/20,4.29E-05,0.000140585,0.040537565,0.128332568,2027
gen_000084,South Africa,2020/11/23,5.32E-05,0.000171587,0.051282419,0.118417028,2020
gen_000085,Swaziland,2020/07/02,3.46E-05,0.000116034,0.031469067,0.121610013,2020
gen_000086,Botswana,2022/01/15,2.45E-05,8.64E-05,0.028986655,0.10410709,2022
gen_000087,Lesotho,2020/01/03,,8.17E-05,0.030550296,0.095787838,2020
gen_000088,Swaziland,2023/09/07,3.74E-05,9.45E-05,0.043070986,0.099923448,2023
gen_000089,Swaziland,2023/05/04,4.04E-05,0.00017159,0.030182129,0.104738073,2023
gen_000090,Mozambique,2022/08/28,3.11E-05,6.96E-05,0.033450448,0.132810429,2022
gen_000091,Swaziland,2022/08/20,3.65E-05,0.000129546,0.033573048,0.132017698,2022
gen_000092,Zimbabwe,2026/08/04,2.90E-05,0.000100694,0.034344868,0.137909111,2026
gen_000093,Mozambique,2019/07/02,3.02E-05,7.71E-05,0.034021958,0.139544115,2019
gen_000094,Zimbabwe,2025/08/31,3.90E-05,0.000119231,0.035908171,0.128706773,2025
gen_000095,Lesotho,2023/10/22,3.17E-05,8.57E-05,0.029171085,0.114864765,2023
gen_000096,Lesotho,2025/12/05,2.19E-05,7.78E-05,0.02602074,0.151735032,2025
gen_000097,Swaziland,2023/09/30,4.07E-05,0.000100339,,0.114892281,2023
gen_000098,South Africa,2025/09/16,5.88E-05,0.000211549,0.067057674,0.097565509,2025
gen_000099,Botswana,2024/01/21,2.51E-05,9.57E-05,,0.12780198,2024
gen_000100,Swaziland,2025/02/13,3.39E-05,,0.042231591,0.169784542,2025
gen_000101,Lesotho,2022/02/19,2.69E-05,0.000102667,0.027643535,0.131937298,2022
gen_000102,Swaziland,2026/12/09,3.34E-05,0.000140232,,0.128655793,2026
gen_000103,Botswana,2020/11/25,2.33E-05,7.68E-05,0.025453176,0.118440476,2020
gen_000104,Swaziland,2025/03/04,3.58E-05,0.000154759,0.038080677,0.118078884,2025
gen_000105,Swaziland,2021/04/14,3.60E-05,0.000129488,,0.147147964,2021
gen_000106,Swaziland,2025/11/29,2.98E-05,0.000137589,0.03866724,0.12811217,2025
gen_000107,South Africa,2026/05/06,6.72E-05,0.000262104,0.059784947,0.164396385,2026
gen_000108,Mozambique,2019/11/06,2.08E-05,7.87E-05,0.027230602,0.118127918,2019
gen_000109,Swaziland,2024/04/01,3.24E-05,0.000129533,0.043391587,0.14493161,2024
gen_000110,Lesotho,2023/04/13,2.73E-05,9.37E-05,0.026222349,0.145703289,2023
gen_000111,Swaziland,2021/12/24,,0.000127157,,0.118324293,2021
gen_000112,South Africa,2020/10/16,6.74E-05,0.000185703,0.043685306,0.151005564,2020
gen_000113,Mozambique,2024/02/18,3.12E-05,0.000120652,,0.105522686,2024
gen_000114,South Africa,2026/03/27,7.95E-05,0.000322488,0.056924776,0.143511083,2026
gen_000115,South Africa,2021/06/30,6.06E-05,0.000304112,0.052277309,0.128836432,2021
gen_000116,Botswana,2021/05/05,1.62E-05,8.92E-05,0.035968615,0.12438177,2021
gen_000117,Botswana,2026/08/17,2.83E-05,9.50E-05,0.039471573,0.119705829,2026
gen_000118,Lesotho,2025/07/22,2.40E-05,8.07E-05,0.029939061,0.122663835,2025
gen_000119,Botswana,2025/04/11,2.63E-05,8.39E-05,0.037892148,0.134276702,2025
gen_000120,Mozambique,2023/12/03,2.43E-05,0.000106559,0.035421102,0.150571634,2023
gen_000121,Swaziland,2019/01/04,3.84E-05,0.000105778,0.029785565,0.127567614,2019
gen_000122,South Africa,2019/07/04,5.27E-05,0.000246062,0.04634543,0.137442596,2019
gen_000123,Mozambique,2018/07/25,2.44E-05,9.63E-05,0.028873925,0.098578089,2018
gen_000124,Zimbabwe,2021/02/21,,0.000125859,0.040203728,0.127146507,2021
gen_000125,South Africa,2018/05/03,5.38E-05,0.000285941,0.060762804,0.126621121,2018
gen_000126,Botswana,2022/09/17,2.31E-05,7.69E-05,0.039125788,0.114382039,2022
gen_000127,Swaziland,2018/04/11,3.23E-05,0.000129741,0.04080311,0.122507023,2018
gen_000128,South Africa,2027/12/15,4.79E-05,0.000271717,0.053897175,0.155201478,2027
gen_000129,South Africa,2022/12/20,6.19E-05,0.00020851,,0.152713227,2022
gen_000130,South Africa,2018/02/17,5.68E-05,0.000294365,0.061930745,,2018
gen_000131,South Africa,2019/10/23,6.59E-05,0.000197182,0.061938682,0.119225225,2019
gen_000132,Botswana,2019/11/17,1.95E-05,6.72E-05,0.021547755,0.118484045,2019
gen_000133,South Africa,2024/09/29,6.57E-05,0.000266065,0.057582532,0.110417115,2024
gen_000134,Swaziland,2025/09/12,3.70E-05,0.000119438,0.044982857,,2025
gen_000135,Lesotho,2022/10/30,2.80E-05,8.29E-05,0.032992646,0.122384768,2022
gen_000136,South Africa,2025/04/08,7.19E-05,0.00029318,0.040800098,0.169852727,2025
gen_000137,Botswana,2018/12/08,2.31E-05,7.06E-05,0.026933252,0.098662738,2018
gen_000138,Mozambique,2021/02/19,2.51E-05,9.49E-05,0.030415427,0.124565696,2021
gen_000139,Mozambique,2018/01/22,,0.000112922,0.029156842,,2018
gen_000140,Zimbabwe,2022/01/27,3.55E-05,0.000123092,0.038514989,0.17886242,2022
gen_000141,Lesotho,2018/05/15,,7.82E-05,0.024170729,0.146757724,2018
gen_000142,Lesotho,2025/11/28,2.46E-05,9.54E-05,0.031465872,0.134257432,2025
gen_000143,Mozambique,2023/05/02,3.18E-05,9.47E-05,0.03555457,0.125159363,2023
gen_000144,Zimbabwe,2025/07/13,2.95E-05,0.000146006,0.041070133,0.101762033,2025
gen_000145,Zimbabwe,2023/11/13,3.48E-05,0.000126021,0.031385369,0.126114541,2023
gen_000146,Botswana,2018/05/17,2.85E-05,9.18E-05,0.034777873,0.123749633,2018
gen_000147,Lesotho,2021/07/13,2.46E-05,8.34E-05,0.021283801,0.115576133,2021
gen_000148,Swaziland,2018/02/14,3.06E-05,0.000138338,0.033022567,0.149091061,2018
gen_000149,Botswana,2018/10/16,2.80E-05,8.04E-05,0.037730504,,2018
gen_000150,Zimbabwe,2027/05/27,4.17E-05,0.000133739,0.031346774,0.131734464,2027
gen_000151,Lesotho,2027/05/07,2.99E-05,0.000115675,0.030564201,0.165292007,2027
gen_000152,Zimbabwe,2019/03/14,3.20E-05,0.000121332,0.044045159,0.143666157,2019
gen_000153,Lesotho,2022/01/21,1.37E-05,9.43E-05,0.030188591,0.134397818,2022
gen_000154,Mozambique,2020/11/21,2.44E-05,9.54E-05,0.033392912,0.133103858,2020
gen_000155,South Africa,2022/04/17,8.15E-05,0.000316162,0.045896916,0.138138883,2022
gen_000156,Botswana,2024/02/06,2.31E-05,0.000106139,0.034490367,0.129076139,2024
gen_000157,South Africa,2021/10/25,,0.000229195,0.059535317,0.137184975,2021
gen_000158,South Africa,2026/02/14,7.15E-05,0.000303788,0.055814391,0.145040654,2026
gen_000159,Swaziland,2018/08/06,3.20E-05,0.000123571,0.045055715,0.127073522,2018
gen_000160,Zimbabwe,2023/11/02,2.58E-05,0.000131392,0.034619011,0.106798054,2023
gen_000161,South Africa,2025/02/07,7.27E-05,0.000233877,0.048874449,0.133063166,2025
gen_000162,Mozambique,2023/07/22,2.68E-05,9.24E-05,0.029724837,0.124557599,2023
gen_000163,Mozambique,2024/08/24,2.31E-05,8.96E-05,0.03749062,0.121001195,2024
gen_000164,Mozambique,2024/03/10,2.70E-05,9.09E-05,0.038253128,0.171329991,2024
gen_000165,Swaziland,2019/08/24,3.40E-05,,0.031158672,0.10090737,2019
gen_000166,Lesotho,2025/11/22,2.69E-05,9.73E-05,0.028560161,0.129109451,2025
gen_000167,Lesotho,2020/09/07,3.16E-05,7.67E-05,0.024772247,0.078757828,2020
gen_000168,Mozambique,2019/10/13,3.45E-05,9.72E-05,0.034373931,0.110101937,2019
gen_000169,Botswana,2023/06/21,2.38E-05,9.10E-05,0.023866094,0.115407778,2023
gen_000170,Botswana,2024/05/08,2.59E-05,9.97E-05,0.029781294,0.147705986,2024
gen_000171,Botswana,2021/10/07,2.48E-05,8.06E-05,0.028990601,0.115108761,2021
gen_000172,Swaziland,2018/08/10,3.24E-05,0.000117545,0.036826446,0.099148994,2018
gen_000173,Swaziland,2027/12/24,3.68E-05,0.00011979,0.038402514,0.13520387,2027
gen_000174,Swaziland,2026/02/17,3.09E-05,0.000123731,0.044251305,0.156198259,2026
gen_000175,Mozambique,2022/12/19,2.64E-05,0.000102704,0.032921909,0.162373953,2022
gen_000176,Swaziland,2021/06/30,3.85E-05,0.00012005,,0.138249089,2021
gen_000177,Botswana,2026/10/27,,9.80E-05,0.033200274,0.120295205,2026
gen_000178,Zimbabwe,2021/07/19,2.94E-05,0.000117466,0.035618978,0.109471174,2021
gen_000179,South Africa,2020/01/18,7.51E-05,0.000251054,,0.141093702,2020
gen_000180,Zimbabwe,2020/07/09,3.17E-05,0.000118187,0.04209289,0.14505026,2020
gen_000181,Botswana,2023/07/25,2.11E-05,0.00010022,0.034418225,0.095036799,2023
gen_000182,Mozambique,2025/06/20,2.96E-05,8.14E-05,0.027611538,0.169393928,2025
gen_000183,Swaziland,2021/03/21,3.99E-05,0.0001268,0.036552181,0.149542906,2021
gen_000184,Mozambique,2019/12/07,2.11E-05,0.000100559,0.0296387,0.129575197,2019
gen_000185,Mozambique,2027/05/06,3.18E-05,9.29E-05,0.032892765,0.158067015,2027
gen_000186,Botswana,2018/12/20,2.57E-05,9.79E-05,,0.118698511,2018
gen_000187,Mozambique,2023/07/06,2.52E-05,7.10E-05,0.034596897,0.128176177,2023
gen_000188,Lesotho,2019/10/11,2.78E-05,8.84E-05,0.039195483,0.133453307,2019
gen_000189,Lesotho,2024/07/16,2.31E-05,6.92E-05,0.037378473,0.139542535,2024
gen_000190,Swaziland,2021/10/01,3.31E-05,0.000124097,0.041160646,0.111800579,2021
gen_000191,South Africa,2018/10/05,8.19E-05,0.000261249,0.048718333,0.125035568,2018
gen_000192,South Africa,2019/09/04,7.33E-05,0.000226082,0.05830361,0.144751449,2019
gen_000193,Mozambique,2022/11/17,2.56E-05,0.00010631,0.032034587,0.112689672,2022
gen_000194,Zimbabwe,2019/06/13,3.39E-05,0.000108718,0.029814738,0.097331502,2019
gen_000195,Botswana,2023/10/18,2.64E-05,8.12E-05,0.037616942,0.105390649,2023
gen_000196,Mozambique,2026/01/03,2.70E-05,,0.025985889,0.120688019,2026
gen_000197,Botswana,2020/11/26,2.18E-05,7.74E-05,0.024600716,0.119786525,2020
gen_000198,Mozambique,2027/05/16,2.42E-05,8.80E-05,0.035413782,0.139422065,2027
gen_000199,Zimbabwe,2025/05/11,3.42E-05,0.000133013,0.03346604,0.144921383,2025
gen_000200,Mozambique,2018/11/08,2.60E-05,9.75E-05,0.029184561,0.140005698,2018
gen_000201,Zimbabwe,2022/08/31,,0.000118559,0.048998968,0.109083504,2022
gen_000202,Mozambique,2023/07/16,2.26E-05,0.000100489,0.030957687,0.159878548,2023
gen_000203,Swaziland,2023/08/12,4.20E-05,0.000104969,0.037477629,0.132657461,2023
gen_000204,Mozambique,2022/08/09,2.44E-05,9.85E-05,0.040630639,,2022
gen_000205,Lesotho,2021/08/11,2.88E-05,6.99E-05,0.040625485,0.120928446,2021
gen_000206,Swaziland,2023/09/09,3.12E-05,0.000108237,0.042887539,0.125100809,2023
gen_000207,Zimbabwe,2024/10/06,3.76E-05,0.000107694,0.047599424,0.118772917,2024
gen_000208,Lesotho,2026/06/24,2.71E-05,,,0.140770459,2026
gen_000209,Swaziland,2019/01/12,3.55E-05,0.000127187,0.032097655,0.151553816,2019
gen_000210,Lesotho,2019/05/22,2.09E-05,9.33E-05,0.030884127,0.126081204,2019
gen_000211,Swaziland,2023/01/23,3.32E-05,0.000143195,0.037982488,0.156194471,2023
gen_000212,Swaziland,2022/03/29,4.06E-05,0.000147586,0.037840065,0.121132482,2022
gen_000213,Mozambique,2026/12/15,2.74E-05,0.000103764,0.034945789,0.142260248,2026
gen_000214,Swaziland,2023/09/27,3.55E-05,9.45E-05,0.037116502,0.095024853,2023
gen_000215,Lesotho,2020/05/08,2.71E-05,0.000126385,0.029194606,0.132981415,2020
gen_000216,Botswana,2026/07/03,1.58E-05,5.59E-05,0.023632709,0.119182659,2026
gen_000217,Botswana,2026/09/07,2.47E-05,8.11E-05,0.041723342,0.118607674,2026
gen_000218,Mozambique,2018/05/30,2.83E-05,,0.024759093,0.134778603,2018
gen_000219,Zimbabwe,2026/11/07,3.25E-05,9.40E-05,0.037760443,0.151260151,2026
gen_000220,Botswana,2021/08/21,2.73E-05,6.59E-05,0.029706991,0.107368342,2021
gen_000221,Mozambique,2020/04/21,2.71E-05,0.000110694,0.030064397,0.1417383,2020
gen_000222,Swaziland,2019/02/26,3.22E-05,0.000132219,0.041557088,0.147473182,2019
gen_000223,Lesotho,2018/10/22,2.45E-05,9.91E-05,,0.118133425,2018
gen_000224,Swaziland,2018/08/07,3.63E-05,0.000120029,0.036427868,0.14257655,2018
gen_000225,Lesotho,2025/08/23,2.64E-05,9.41E-05,0.035222039,0.132864888,2025
gen_000226,Swaziland,2027/01/16,3.46E-05,0.000152707,0.037043076,0.128095561,2027
gen_000227,South Africa,2027/08/02,7.27E-05,0.000290738,0.058713803,0.153583514,2027
gen_000228,South Africa,2023/02/07,6.73E-05,0.000312338,0.05717173,0.136769263,2023
gen_000229,Lesotho,2020/07/22,,7.88E-05,0.031233666,0.113274863,2020
gen_000230,Mozambique,2026/11/20,2.72E-05,8.52E-05,0.030329022,0.09287799,2026
gen_000231,Zimbabwe,2027/02/17,4.10E-05,0.000111932,0.046709775,0.120187495,2027
gen_000232,Botswana,2022/01/04,2.40E-05,8.51E-05,0.027573987,0.165750615,2022
gen_000233,Swaziland,2020/01/31,3.12E-05,0.000155997,0.029098945,,2020
gen_000234,Mozambique,2026/05/24,2.65E-05,9.57E-05,0.028611777,,2026
gen_000235,Swaziland,2021/08/05,3.20E-05,0.000127549,0.049587456,0.128415549,2021
gen_000236,South Africa,2023/05/14,6.45E-05,0.000275826,0.053887573,0.132067125,2023
gen_000237,Mozambique,2026/11/10,2.30E-05,7.14E-05,0.028951702,0.144330534,2026
gen_000238,Lesotho,2019/08/31,2.61E-05,7.18E-05,0.036539716,0.11263947,2019
gen_000239,South Africa,2021/01/15,4.49E-05,0.000240789,0.067813005,0.187404398,2021
gen_000240,Botswana,2020/02/13,2.06E-05,9.85E-05,0.037081967,0.129962817,2020
gen_000241,South Africa,2025/07/22,,0.000260723,0.045764704,0.125805807,2025
gen_000242,Botswana,2019/03/05,2.10E-05,9.33E-05,0.028312645,0.138988845,2019
gen_000243,South Africa,2019/06/21,6.86E-05,,0.043185179,0.122917569,2019
gen_000244,South Africa,2021/04/22,5.61E-05,0.000256889,0.058234316,0.122614852,2021
gen_000245,Botswana,2021/10/15,2.35E-05,7.45E-05,0.032948873,0.11809532,2021
gen_000246,Swaziland,2025/06/14,3.07E-05,0.000128633,0.040731214,0.104151948,2025
gen_000247,Mozambique,2027/05/29,,0.000103841,0.039904264,0.148683111,2027
gen_000248,Swaziland,2023/12/12,3.40E-05,0.000113131,0.034356039,0.139789361,2023
gen_000249,Botswana,2020/04/06,2.60E-05,9.17E-05,,0.12290709,2020
gen_000250,Lesotho,2024/08/11,2.87E-05,7.68E-05,0.036196251,0.113396856,2024
gen_000251,Mozambique,2025/01/06,2.68E-05,7.66E-05,0.032775501,0.113972123,2025
gen_000252,Lesotho,2018/11/05,2.12E-05,8.07E-05,0.028499894,0.116527015,2018
gen_000253,Lesotho,2027/03/13,,9.68E-05,0.036281834,0.172396022,2027
gen_000254,South Africa,2023/02/11,,0.000321572,0.049831792,0.126338619,2023
gen_000255,Botswana,2025/11/06,2.04E-05,8.34E-05,0.024844291,0.112597185,2025
gen_000256,Swaziland,2018/07/07,3.28E-05,0.000130198,0.028001548,0.131159161,2018
gen_000257,Botswana,2027/06/25,2.59E-05,0.000119056,0.024372629,0.133654902,2027
gen_000258,Lesotho,2027/09/21,2.89E-05,6.53E-05,0.044251376,0.086615437,2027
gen_000259,South Africa,2027/06/09,7.47E-05,0.000290405,0.047029542,0.17465282,2027
gen_000260,Swaziland,2023/04/16,3.74E-05,0.000139892,0.041044003,0.15175423,2023
gen_000261,Lesotho,2019/02/19,2.53E-05,0.000105786,0.030402759,0.122185566,2019
gen_000262,Lesotho,2022/07/07,2.48E-05,0.000100474,0.029428979,,2022
gen_000263,Zimbabwe,2024/01/07,3.82E-05,9.73E-05,0.039878287,0.133026558,2024
gen_000264,Zimbabwe,2022/06/26,2.97E-05,0.0001331,0.039108021,0.149784219,2022
gen_000265,South Africa,2022/04/09,8.28E-05,0.000255104,0.067035595,0.131677129,2022
gen_000266,Mozambique,2021/07/02,2.91E-05,7.88E-05,0.032003375,0.109060333,2021
gen_000267,Mozambique,2024/10/29,2.76E-05,7.11E-05,0.04054273,0.132384533,2024
gen_000268,South Africa,2023/09/23,6.43E-05,0.000270081,0.057245017,0.131209278,2023
gen_000269,South Africa,2025/06/04,5.36E-05,0.000270599,0.062133753,0.145779531,2025
gen_000270,Lesotho,2018/10/20,2.33E-05,7.22E-05,0.039562051,0.10095219,2018
gen_000271,Botswana,2020/06/14,2.20E-05,8.06E-05,0.025855553,0.106420677,2020
gen_000272,Botswana,2026/10/15,2.53E-05,8.77E-05,0.023292971,0.130812233,2026
gen_000273,Zimbabwe,2025/12/31,2.80E-05,0.00012318,,0.110808962,2025
gen_000274,Mozambique,2024/09/26,2.42E-05,8.35E-05,0.037640095,0.125961899,2024
gen_000275,Mozambique,2022/02/03,2.22E-05,0.000100944,0.031280848,0.149323499,2022
gen_000276,Mozambique,2022/04/12,2.87E-05,8.68E-05,0.033318059,0.127112987,2022
gen_000277,Swaziland,2024/07/26,2.90E-05,0.000126534,0.028650888,0.145981574,2024
gen_000278,Botswana,2025/09/18,3.31E-05,7.56E-05,0.050507868,,2025
gen_000279,Botswana,2022/04/11,2.22E-05,,0.030307804,0.115955473,2022
gen_000280,Lesotho,2026/12/22,,0.000108039,0.026236617,0.121706175,2026
gen_000281,Mozambique,2021/06/18,3.76E-05,7.84E-05,0.029924373,0.13287948,2021
gen_000282,Swaziland,2021/03/16,3.71E-05,0.000136952,0.040350091,0.16180522,2021
gen_000283,Mozambique,2024/12/09,2.33E-05,7.53E-05,0.034700486,0.113931758,2024
gen_000284,Mozambique,2025/11/26,1.99E-05,7.89E-05,0.037728501,0.161060879,2025
gen_000285,Zimbabwe,2023/06/03,2.93E-05,0.000136549,0.033293233,0.143468465,2023
gen_000286,Botswana,2027/07/08,2.08E-05,8.96E-05,0.02949765,0.105444857,2027
gen_000287,South Africa,2026/07/12,6.82E-05,0.000260771,0.056275491,0.138088418,2026
gen_000288,South Africa,2020/01/27,6.43E-05,0.000261898,0.054112668,0.16726904,2020
gen_000289,Mozambique,2025/11/10,1.68E-05,9.97E-05,0.033774339,0.106295985,2025
gen_000290,Swaziland,2026/02/08,3.54E-05,0.000140124,0.036929779,0.133916353,2026
gen_000291,Lesotho,2026/09/07,3.00E-05,6.90E-05,0.03309142,0.1025993,2026
gen_000292,Zimbabwe,2023/04/03,3.07E-05,0.000142155,0.042524165,0.176266451,2023
gen_000293,Lesotho,2025/08/28,2.67E-05,7.84E-05,0.033740404,0.126676005,2025
gen_000294,South Africa,2025/03/28,7.20E-05,0.000299908,0.063100236,0.151579683,2025
gen_000295,South Africa,2027/03/03,6.91E-05,0.000299468,,0.153356781,2027
gen_000296,Zimbabwe,2020/12/20,3.25E-05,0.000119109,0.033608121,0.157609847,2020
gen_000297,Mozambique,2019/07/27,2.38E-05,0.000104619,0.02218776,0.12499968,2019
gen_000298,Lesotho,2025/08/31,3.10E-05,9.65E-05,0.035790103,0.134439442,2025
gen_000299,Botswana,2024/05/28,2.62E-05,7.32E-05,0.036446515,,2024
gen_000300,Mozambique,2027/10/07,3.14E-05,,0.035629911,0.107657426,2027
gen_000301,Swaziland,2018/10/28,4.11E-05,0.000105581,0.031050881,0.121688761,2018
